Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1962 [YR1962],1964 [YR1964],1966 [YR1966],1968 [YR1968],1970 [YR1970],1972 [YR1972],1974 [YR1974],1976 [YR1976],1978 [YR1978],1980 [YR1980],1982 [YR1982],1984 [YR1984],1986 [YR1986],1988 [YR1988],1990 [YR1990],1992 [YR1992],1994 [YR1994],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2006 [YR2006],2008 [YR2008],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016]
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,27786400318,65193099976,51169498443.6,58082870733.541,76961921890.6573,84307484567.9012,79092000000,110934444444.444,126206818181.818,141352368724.031,228788617201.696,257440000000,272149750000,298948250000,284203750000,97724004251.8602,164657930452.787,232557260817.308,361558037110.419,423627422092.49,545982375701.128,526319673731.638,557531376217.967
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,1127.09229944122,2560.37699556266,1948.22463077317,2146.36498032507,2758.83475016383,2927.89727805787,2659.70817528019,3613.62176405837,3985.19249987561,4333.48337196658,6823.53883710424,7483.14033425721,7721.35410460355,8289.5075682025,7708.09911454041,2593.404563368,4277.72157290954,5919.01233837714,9020.87332314274,10385.9644319555,13082.664325572,12334.7982453893,12790.2424732447
Argentina,ARG,Population growth (annual %),SP.POP.GROW,..,1.60007942669871,1.54925797693851,1.49771883580732,1.47575331677022,1.53152765510278,1.60946423674371,1.60668460387168,1.53044426140499,1.48783780913576,1.53698027406277,1.59643349568329,1.61039031434213,1.584792373551,1.54180357385285,1.45296474870991,1.35215795127188,1.26533343238916,1.19362308026821,1.1322150155202,1.10060813455916,1.08355691032176,1.05538943935448,1.01545457815013,0.992570475708135,0.752217992640236,1.13690569378967,1.09946109101836,1.05718157762752
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,..,7.72942569308179,7.97475307762297,8.21942967599546,8.46579919537836,8.72607566074345,9.00839042785262,9.30405160979139,9.5972437506623,9.88823761551363,10.1935301404251,10.5216703389861,10.8660816533842,11.2175525909036,11.5719862315425,11.9190145760024,12.251778608465,12.570904632969,12.8791993247317,13.1777625525726,13.4727703905082,13.7690944169782,14.0651553519032,14.3567141327662,14.6454874318977,14.904301546759,15.2495426957383,15.5916453818299,15.9281350828921
Argentina,ARG,"Population, total",SP.POP.TOTL,20481781,21153042,21824427,22494031,23168268,23880564,24653172,25462305,26264681,27061041,27896532,28794550,29737097,30698964,31668939,32618648,33529320,34402669,35246376,36063451,36870796,37681743,38491970,39289876,40080159,40788453,41733271,42669500,43590368
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,..,19892485160.7123,23764139321.3126,27268451114.3465,32665472057.3412,41271138985.3287,51967289719.6262,88831245394.252,104921215177.108,118338596886.984,149776044568.245,193770274743.462,193242166274.226,182036933407.946,235658469150.175,310781069642.17,324884257479.043,322213766862.677,400302731411.229,398899138574.239,415222633925.768,394648911678.527,612490396927.017,746054207846.661,1053995523724.26,1146138465603.81,1546151783872.96,1467483705131.74,1208846993739.99
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,..,1851.84185074588,2128.06835509202,2340.43868460617,2720.08260948799,3299.84320663058,3943.7876390397,6473.16515297326,7476.74874774519,8241.99727587296,10194.3945390856,12766.5222521717,12431.9458488308,11364.2394626146,14254.5135644484,18211.5000581403,18570.1204617916,18046.1364806876,21861.32550987,21318.9641694318,21679.2478424147,20082.4832672749,30430.6764374443,36044.9228108485,49601.6567082178,52022.1255961876,68012.1479005934,62510.7911705641,49971.131456129
Australia,AUS,Population growth (annual %),SP.POP.GROW,..,2.4406394012832,1.96235442011452,2.2831843822013,1.76415865607642,1.97018887868806,1.83814626273502,2.53122025874137,1.0026582602274,1.16288525870675,1.21894271014757,1.66753573306185,1.13222184499641,1.63898886728063,1.63620665679268,1.47997801595662,1.21339077499647,1.05850884158683,1.31381929938745,1.04223571564164,1.19227232344832,1.22056378534358,1.15935216218033,1.47522794532757,2.00402174031569,1.55548958906995,1.74582000067359,1.49156648912847,1.56194049810399
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,..,1.39827916118871,1.45360113507673,1.51660310063392,1.56320372805019,1.62802806451193,1.71524152922953,1.78631399450685,1.82666649310753,1.86897153196308,1.91244809497156,1.9757103992294,2.02335238144826,2.08510472124234,2.1519857334392,2.22135298022728,2.2773127839319,2.32417375004881,2.38353097379691,2.43559871392682,2.49313356677037,2.55800997097223,2.61997058172683,2.69423219608711,2.76599455892116,2.86785858401781,2.95920036968095,3.05581479504836,3.14493553058884
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10742000,11167000,11651000,12009000,12507000,13177000,13723000,14033000,14358000,14692000,15178000,15544000,16018400,16532200,17065100,17495000,17855000,18311000,18711000,19153000,19651400,20127400,20697900,21249200,22031750,22733465,23475686,24190907
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,183785591126,200567103794.714,266313891601.56,330301146051.941,461951782000,400599250000,558111997497.263,850426432991.742,863723411632.917,655420645476.906,507962487700.024,669316654017.094,1107640289615.23,1695824565983.2,2208871646202.82,2465188674415.03,2455993625159.37,1795700168991.49
