Year,Country,Medal,Medal_Sum
1896,AUT,5,5
1896,GBR,7,7
1896,GER,33,33
1896,DEN,6,6
1896,GRE,52,52
1896,SUI,3,3
1896,HUN,6,6
1896,AUS,2,2
1896,ZZX,6,6
1896,USA,20,20
1896,FRA,11,11
1900,BOH,2,2
1900,CAN,2,2
1900,USA,55,75
1900,CUB,2,2
1900,AUS,5,7
1900,DEN,6,12
1900,BEL,39,39
1900,ESP,2,2
1900,SWE,1,1
1900,SUI,15,18
1900,FRA,185,196
1900,GBR,78,85
1900,GER,40,73
1900,NED,20,20
1900,NOR,9,9
1900,ZZX,34,40
1900,HUN,5,11
1900,AUT,6,11
1900,IND,2,2
1900,ITA,4,4
1904,AUT,1,12
1904,USA,394,469
1904,SUI,2,20
1904,GRE,2,54
1904,CUB,9,11
1904,GER,13,86
1904,GBR,2,87
1904,CAN,35,37
1904,HUN,4,15
1904,ZZX,8,48
1908,ITA,7,11
1908,FIN,29,29
1908,BEL,31,70
1908,NOR,44,53
1908,USA,63,532
1908,HUN,18,33
1908,AUT,1,13
1908,ANZ,19,19
1908,FRA,35,231
1908,BOH,5,7
1908,DEN,15,27
1908,GRE,3,57
1908,SWE,98,99
1908,GER,22,108
1908,RSA,2,2
1908,NED,11,31
1908,RU1,3,3
1908,GBR,347,434
1908,CAN,51,88
1912,CAN,8,96
1912,FIN,67,96
1912,USA,101,633
1912,BEL,19,89
1912,RU1,14,17
1912,HUN,30,63
1912,ANZ,10,29
1912,GER,52,160
1912,GBR,160,594
1912,GRE,2,59
1912,RSA,7,9
1912,FRA,25,256
1912,NOR,76,129
1912,AUT,14,27
1912,SWE,173,272
1912,DEN,84,111
1912,ITA,21,32
1912,NED,22,53
1920,NED,48,101
1920,GRE,5,64
1920,JPN,3,3
1920,BEL,188,277
1920,FRA,141,397
1920,NOR,141,270
1920,SWE,146,418
1920,ESP,24,26
1920,CAN,16,112
1920,LUX,1,1
1920,SUI,29,49
1920,BRA,7,7
1920,USA,193,826
1920,AUS,6,13
1920,NZL,1,1
1920,FIN,49,145
1920,DEN,75,186
1920,ITA,84,116
1920,TCH,10,10
1920,EST,3,3
1920,RSA,21,30
1920,GBR,107,701
1924,NED,26,127
1924,ITA,51,167
1924,URU,22,22
1924,RSA,3,33
1924,SWE,80,498
1924,POL,5,5
1924,YUG,2,2
1924,ROU,23,23
1924,FRA,122,519
1924,JPN,1,4
1924,ARG,11,11
1924,SUI,65,114
1924,GBR,66,767
1924,HAI,7,7
1924,CAN,20,132
1924,NOR,26,296
1924,EST,6,9
1924,USA,198,1024
1924,DEN,12,198
1924,AUS,10,23
1924,BEL,38,315
1924,FIN,52,197
1924,AUT,4,31
1924,NZL,1,2
1924,POR,3,3
1924,TCH,10,20
1924,HUN,20,83
1928,JPN,8,12
1928,NOR,9,305
1928,CAN,33,165
1928,RSA,6,39
1928,CHI,1,1
1928,NZL,1,3
1928,TCH,16,36
1928,GER,72,232
1928,EST,9,18
1928,EGY,4,4
1928,IND,15,17
1928,ARG,32,43
1928,GBR,55,822
1928,PHI,1,1
1928,ITA,70,237
1928,SWE,36,534
1928,SUI,29,143
1928,NED,65,192
1928,YUG,12,14
1928,AUT,4,35
1928,AUS,4,27
1928,HAI,1,8
1928,HUN,20,103
1928,URU,22,44
1928,FIN,25,222
1928,ESP,3,29
1928,IRL,1,1
1928,BEL,5,320
1928,FRA,36,555
1928,DEN,13,211
1928,POL,18,23
1928,USA,84,1108
1932,LAT,1,1
1932,ESP,1,30
1932,FRA,37,592
1932,DEN,9,220
1932,GBR,34,856
1932,FIN,29,251
1932,NZL,2,5
1932,CAN,38,203
1932,SUI,1,144
1932,SWE,31,565
1932,TCH,4,40
1932,ARG,4,47
1932,RSA,5,44
1932,JPN,31,43
1932,IND,11,28
1932,URU,1,45
1932,IRL,2,3
1932,USA,181,1289
1932,GER,38,270
1932,AUT,5,40
1932,NED,12,204
1932,AUS,5,32
1932,POL,19,42
1932,ITA,77,314
1932,HUN,32,135
1932,MEX,2,2
1932,PHI,3,4
1936,NZL,1,6
1936,BEL,12,332
1936,HUN,42,177
1936,SUI,47,191
1936,FIN,26,277
1936,LAT,2,3
1936,EST,7,25
1936,IND,19,47
1936,TCH,17,57
1936,NOR,28,333
1936,AUT,50,90
1936,DEN,6,226
1936,AUS,1,33
1936,POL,9,51
1936,ITA,71,385
1936,PHI,1,5
1936,EGY,5,9
1936,SWE,34,599
1936,POR,3,6
1936,MEX,16,18
1936,USA,92,1381
1936,NED,37,241
1936,GER,210,480
1936,CAN,22,225
1936,JPN,21,64
1936,ROU,2,25
1936,YUG,1,15
1936,RSA,1,45
1936,TUR,2,2
1936,GBR,36,892
1936,FRA,43,635
1936,ARG,11,58
1948,TRI,1,1
1948,AUS,16,49
1948,TCH,20,77
1948,SRI,1,1
1948,IND,20,67
1948,IRI,1,1
1948,POR,5,11
1948,SWE,73,672
1948,ESP,3,33
1948,POL,1,52
1948,ARG,12,70
1948,NED,42,283
1948,ITA,63,448
1948,AUT,4,94
1948,NOR,18,351
1948,GBR,56,948
1948,JAM,3,3
1948,PAN,2,2
1948,URU,3,48
1948,MEX,9,27
1948,CAN,6,231
1948,FIN,29,306
1948,YUG,16,31
1948,BRA,12,19
1948,HUN,60,237
1948,EGY,5,14
1948,BEL,14,346
1948,PER,1,1
1948,KOR,2,2
1948,RSA,4,49
1948,USA,148,1529
1948,PUR,1,1
1948,SUI,32,223
1948,TUR,12,14
1948,CUB,2,13
1948,DEN,49,275
1948,FRA,68,703
1952,ESP,1,34
1952,RSA,14,63
1952,GBR,31,979
1952,EGY,1,15
1952,GER,40,520
1952,ITA,53,501
1952,NZL,3,9
1952,FIN,40,346
1952,HUN,101,338
1952,JAM,8,11
1952,ROU,4,29
1952,JPN,12,76
1952,KOR,2,4
1952,SUI,33,256
1952,POR,2,13
1952,IND,15,82
1952,ARG,6,76
1952,IRI,7,8
1952,POL,4,56
1952,IRL,1,4
1952,FRA,39,742
1952,SWE,70,742
1952,AUS,20,69
1952,LUX,1,2
1952,BRA,3,22
1952,TUR,3,17
1952,BEL,7,353
1952,USA,130,1659
1952,TCH,25,102
1952,NOR,13,364
1952,BUL,1,1
1952,DEN,9,284
1952,URS,117,117
1952,NED,18,301
1952,YUG,24,55
1952,MEX,1,28
1952,VEN,1,1
1952,LIB,2,2
1952,URU,14,62
1952,CAN,4,235
1952,TRI,2,3
1952,CHI,4,5
1952,AUT,3,97
1956,FRA,32,774
1956,BRA,1,23
1956,CHI,4,9
1956,GRE,1,65
1956,SUI,3,259
1956,PAK,14,14
1956,EUA,57,57
1956,FIN,26,372
1956,TUR,7,24
1956,ARG,2,78
1956,BUL,18,19
1956,GBR,45,1024
1956,NZL,3,12
1956,RSA,7,70
1956,CAN,19,254
1956,YUG,23,78
1956,JPN,24,100
1956,SWE,34,776
1956,URS,169,286
1956,KOR,2,6
1956,ROU,19,48
1956,POL,19,75
1956,IRI,5,13
1956,URU,12,74
1956,IND,17,99
1956,MEX,2,30
1956,IRL,5,9
1956,AUT,4,101
1956,ITA,46,547
1956,USA,118,1777
1956,BAH,2,2
1956,DEN,7,291
1956,BEL,2,355
1956,TCH,7,109
1956,AUS,61,130
1956,ISL,1,1
1956,HUN,64,402
1956,NOR,3,367
1960,IRQ,1,1
1960,JPN,29,129
1960,FRA,11,785
1960,ARG,4,82
1960,AUT,3,104
1960,TUR,9,33
1960,AUS,36,166
1960,VEN,1,2
1960,SIN,1,1
1960,GBR,28,1052
1960,RSA,3,73
1960,BEL,4,359
1960,CAN,9,263
1960,BRA,13,36
1960,ROU,15,63
1960,PAK,14,28
1960,GRE,3,68
1960,HUN,65,467
1960,GHA,1,1
1960,URS,169,455
1960,BUL,7,26
1960,POR,2,15
1960,USA,112,1889
1960,NED,3,304
1960,BWI,5,5
1960,MEX,1,31
1960,ITA,88,635
1960,IRI,4,17
1960,POL,30,105
1960,IND,13,112
1960,SWE,7,783
1960,ETH,1,1
1960,NZL,3,15
1960,EUA,88,145
1960,ESP,14,48
1960,SUI,11,270
1960,EGY,2,17
1960,TCH,22,131
